keyword_cluster,tested_url,status,final_url,page_title,h1,canonical,robots_status,page_type,genuine_paid_lp,evidence,confidence,body_len,body_hash,has_form,has_cta,score,source,fetch,checked_at
sitemap_service,https://www.myoutdesk.com/lp/google-ai/,404,https://www.myoutdesk.com/lp/google-ai/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:22Z
sitemap_service,https://www.myoutdesk.com/lp/google-bookkeeping/,404,https://www.myoutdesk.com/lp/google-bookkeeping/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:23Z
sitemap_service,https://www.myoutdesk.com/lp/google-customer-service-virtual-assistant/,404,https://www.myoutdesk.com/lp/google-customer-service-virtual-assistant/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:24Z
sitemap_service,https://www.myoutdesk.com/lp/google-help-desk-outsourcing/,404,https://www.myoutdesk.com/lp/google-help-desk-outsourcing/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:26Z
sitemap_service,https://www.myoutdesk.com/lp/google-inside-sales-agent/,404,https://www.myoutdesk.com/lp/google-inside-sales-agent/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:27Z
sitemap_service,https://www.myoutdesk.com/lp/google-loan-processor-assistant/,404,https://www.myoutdesk.com/lp/google-loan-processor-assistant/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:28Z
sitemap_service,https://www.myoutdesk.com/lp/google-marketing-virtual-assistants/,404,https://www.myoutdesk.com/lp/google-marketing-virtual-assistants/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:30Z
sitemap_service,https://www.myoutdesk.com/lp/google-medical-billing-virtual-assistant/,404,https://www.myoutdesk.com/lp/google-medical-billing-virtual-assistant/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:31Z
sitemap_service,https://www.myoutdesk.com/lp/google-real-estate-isa/,404,https://www.myoutdesk.com/lp/google-real-estate-isa/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:32Z
sitemap_service,https://www.myoutdesk.com/lp/google-recruiting-assistant/,404,https://www.myoutdesk.com/lp/google-recruiting-assistant/,Page Not Found | MyOutDesk,Page not found,https://www.myoutdesk.com/404/,"noindex, nofollow",missing,no,HTTP 404,observed,305597,8bbc9b8f4dd498eb,False,False,920,sitemap_service,http_error,2026-08-18T18:02:34Z
